COUNTRY_ID,REGION_ID,COUNTRY_NAME,LOCATION,CAPITAL,AREA,COASTLINE,LOWEST_ELEVATION,LOWEST_ELEVATION_NAME,HIGHEST_ELEVATION,HIGHEST_ELEVATION_NAME,DATE_OF_INDEPENDENCE,NATIONAL_HOLIDAY_NAME,NATIONAL_HOLIDAY_DATE,POPULATION,POPULATION_GROWTH_RATE,LIFE_EXPECT_AT_BIRTH,MEDIAN_AGE,AIRPORTS,CLIMATE,FIPS_ID,INTERNET_EXTENSION,FLAG,CURRENCY_CODE,EXTERNAL_FLAG
208,1,SOCIALIST_REPUBLIC_OF_VIETNAM,ASIA,Hanoi,"329,560 sq km","3,444 km",0 m,South China Sea,"3,144 m",Fan Si Pan,2-Sep-45,Independence Day,2-Sep,"85,262,356",1.00%,71.07 years,26.4 years,44,"tropical in south; monsoonal in north with hot, rainy season (May to September) and warm, dry season",,17.87 million,,208,
1,1,REPUBLIC_OF_AFGHANISTAN,ASIA,Kabul,"647,500 sq km",0 km,258 m,Amu Darya,"7,485 m",Nowshak,19-Aug-19,Independence Day,19-Aug,"31,889,923",2.63%,43.77 years ,17.6 years ,46,arid to semiarid,,"535,000",,1,
157,3,ISLAMIC_REPUBLIC_OF_MAURITANIA,AFRICA, Nouakchott ,"1,030,700 sq km ",754 km, -5 m ,Sebkhet Te-n-Dghamcha , 915 m, Kediet Ijill,28-Nov-60,Independence Day,28 November (1960),"3,270,065",2.87%,53.51 years , 17.1 years,25,"desert; constantly hot, dry, dusty",,"100,000",,157,
160,7,UNITED_MEXICAN_STATES,MIDDLE AMERICA,Mexico ,"1,972,550 sq km ","9,330 km", -10 m , Laguna Salada,"5,700 m ",Volcan Pico de Orizaba ,27 September 1821 ,Independence Day ,16-Sep,"108,700,891",1.15%, 75.63 years , 25.6 years  ,"1,834",varies from tropical to desert,,22 million  ,,160,
165,1,MONGOLIA,ASIA,Ulaanbaatar ,"1,564,116 sq km",0 km ,518 m , Hoh Nuur ,"4,374 m", Nayramadlin Orgil ,11-Jul-21,Independence Day, 11 July (1921),"2,951,786",1.49%, 66.99 years , 24.6 years,44,desert; continental ,,"268,300",,165,
167,3,KINGDOM_OF_MOROCCO,AFRICA, Rabat ,"446,550 sq km ","1,835 km", -55 m , Sebkha Tah," 4,165 m", Jebel Toubkal,2-Mar-56,Throne Day ,30 July (1999),"33,757,175",1.53%, 71.22 years , 24.3 years ,60,Mediterranean,,6.1 million  ,,167,
168,3,REPUBLIC_OF_MOZAMBIQUE,AFRICA, Maputo ,"801,590 sq km ","2,470 km", 0 m , Indian Ocean ,"2,436 m", Monte Binga ,25-Jun-75,Independence Day, 25 June (1975),"20,905,585",1.80%, 40.9 years, 17.4 years ,147,tropical to subtropical,,"178,000",,168,
169,3,REPUBLIC_OF_NAMIBIA,AFRICA , Windhoek ,"825,418 sq km ","1,572 km", 0 m , Atlantic Ocean ,"2,606 m", Konigstein ,21-Mar-90,Independence Day, 21 March (1990) ,"2,055,080",0.48%, 43.11 years , 20.2 years ,137,"desert; hot, dry ",,"80,600",,169,
172,1,NEPAL,ASIA, Kathmandu ,"147,181 sq km ",0 km , 70 m , Kanchan Kalan ," 8,850 m", Mount Everest,1768, Constitution Day,9-Nov,"28,901,790",2.13%, 60.56 years , 20.5 years ,47,varies from cool summers and severe winters ,,"249,400",,172,
173,2,KINGDOM_OF_THE_NETHERLANDS,EUROPE, Amsterdam ,"41,526 sq km ",451 km, -7 m , Zuidplaspolder ,322 m, Vaalserberg ,23 January 1579 ,Queen's Day ,30-Apr,"16,570,613",0.46%, 79.11 years , 39.7 years ,27,temperate; marine; cool summers and mild winters,,14.544 million  ,,173,
